year,"disaster type",occurrence,"Total deaths",Affected,Injured,Homeless,"Total affected","Total damage"
1982,"Miscellaneous accident",15,465,30123,996,9000,40119,21450
1982,Storm,52,2782,7765772,1996,681983,8449751,4500783
1982,"Transport accident",14,1243,600,435,,1035,
1982,"Volcanic activity",3,130,355000,500,15000,370500,277000
1982,Wildfire,3,2,,18,9000,9018,
1983,Drought,32,450520,79384109,,,79384109,1113954
1983,Earthquake,25,2148,921125,7686,71455,1000266,969377
1983,Epidemic,7,1219,7808,,,7808,
1983,"Extreme temperature ",2,205,2700,,,2700,
1983,Flood,49,2082,20311591,442,644600,20956633,7433216
1983,"Industrial accident",12,346,26300,531,2500,29331,7000
1983,Landslide,15,1159,725000,233,,725233,988800
1983,"Mass movement (dry)",4,466,,15,,15,
1983,"Miscellaneous accident",12,310,550,429,11500,12479,1300
1983,Storm,59,3656,2802724,3892,686386,3493002,5444777
1983,"Transport accident",24,3026,11,2824,,2835,
1983,"Volcanic activity",7,,48935,,1100,50035,175190
1983,Wildfire,12,106,1000,20,11000,12020,631650
1984,Drought,8,230,3252000,,,3252000,1000000
1984,Earthquake,13,57,757550,811,34300,792661,49000
1984,Epidemic,12,7016,38018,,,38018,
1984,"Extreme temperature ",1,290,,,,,
1984,Flood,47,2930,51127829,233,450570,51578632,2749500
1984,"Industrial accident",22,4046,247320,104987,4000,356307,575800
1984,Landslide,6,228,16000,54,,16054,43000
1984,"Miscellaneous accident",16,430,24575,214,4650,29439,122300
1984,Storm,57,5468,7080995,4545,1443020,8528560,5161457
1984,"Transport accident",25,1966,506,666,,1172,
1984,"Volcanic activity",7,37,101000,,,101000,
1984,Wildfire,7,17,200,,,200,2000
1985,Drought,3,,500000,,,500000,651000
1985,Earthquake,22,9853,3055793,33825,619865,3709483,5608000
1985,Epidemic,13,5854,22828,,,22828,
1985,"Extreme temperature ",8,456,5745,,1340,7085,144000
1985,Flood,58,4376,17013965,87,684447,17698499,3756728
1985,"Industrial accident",17,265,105100,1158,,106258,38700
1985,"Insect infestation",2,,,,,,
1985,Landslide,6,377,,26,4000,4026,
1985,"Mass movement (dry)",2,300,,,,,
1985,"Miscellaneous accident",16,491,19262,1192,10000,30454,8800
1985,Storm,51,17165,5254098,5920,780356,6040374,5838203
1985,"Transport accident",43,3830,85,1310,,1395,
1985,"Volcanic activity",2,21800,8778,5000,,13778,1000000
1985,Wildfire,13,51,2600,230,,2830,128169
1986,Drought,4,84,851000,,,851000,500000
1986,Earthquake,21,1181,820200,21260,266940,1108400,3009220
1986,Epidemic,11,3046,607855,,,607855,
1986,"Extreme temperature ",2,50,30000,,,30000,1750000
1986,Flood,50,1782,11131525,694,1443200,12575419,3801950
1986,"Industrial accident",10,322,140500,245,,140745,2815000
1986,"Insect infestation",13,,,,,,
1986,Landslide,9,501,306,28,2500366,2500700,
1986,"Miscellaneous accident",16,537,85400,110,8600,94110,11300
1986,Storm,56,1939,14293647,9666,397633,14700946,5056742
1986,"Transport accident",76,5907,,792,,792,
1986,"Volcanic activity",2,1746,23000,437,,23437,
1986,Wildfire,6,20,4000,53,,4053,
1987,Drought,15,1317,317012367,,,317012367,
1987,Earthquake,19,5160,264239,607,163000,427846,1936625
1987,Epidemic,25,2592,612559,,,612559,
1987,"Extreme temperature ",6,1220,,17,,17,
1987,Flood,68,6766,49771500,1488,282500,50055488,5434695
1987,"Industrial accident",21,626,41256,4074,,45330,154
1987,"Insect infestation",15,,,,,,
1987,Landslide,13,1204,31119,3000,2040,36159,625800
1987,"Mass movement (dry)",2,183,1151,56,,1207,1000
1987,"Miscellaneous accident",21,339,15464,45,1888,17397,5413
1987,Storm,58,2900,4721296,4190,1157401,5882887,6569945
1987,"Transport accident",123,10811,433,785,,1218,
1987,"Volcanic activity",2,,16000,35,,16035,
1987,Wildfire,8,191,208222,223,750,209195,210000
1988,Drought,17,1600,54199500,,,54199500,1801287
1988,Earthquake,18,27049,22469690,20482,799250,23289422,14401500
1988,Epidemic,20,15216,106652,,,106652,
1988,"Extreme temperature ",6,644,,200,,200,600
1988,Flood,76,8504,105424711,5235,2505125,107935071,7753849
1988,"Industrial accident",20,684,40943,1082,60,42085,1218180
1988,"Insect infestation",17,,,,,,
1988,Landslide,15,952,58305,1155,5685,65145,
1988,"Mass movement (dry)",3,157,1000,,,1000,
1988,"Miscellaneous accident",25,499,58652,501,700,59853,313425
1988,Storm,60,3335,18816045,9464,2208421,21033930,2426376
1988,"Transport accident",120,6724,,1872,200,2072,
1988,"Volcanic activity",5,7,12970,,2500,15470,
1989,Drought,7,237,17060000,,,17060000,1600000
1989,Earthquake,19,650,147790,5269,200565,353624,6870800
1989,Epidemic,15,1858,23346,,,23346,
1989,"Extreme temperature ",5,381,,,,,
1989,Flood,46,4716,103446717,11312,867158,104325187,3896100
1989,"Industrial accident",25,2208,,1007,,1007,1191300
1989,"Insect infestation",1,,,,,,
1989,Landslide,15,445,93810,381,5765,99956,423341
1989,"Mass movement (dry)",3,55,8000,,,8000,
1989,"Miscellaneous accident",28,533,22708,1639,23074,47421,105795
1989,Storm,73,4256,49761948,18276,1046171,50826395,10353299
1989,"Transport accident",170,7473,35,3369,,3404,
1989,"Volcanic activity",1,,3000,,,3000,
1989,Wildfire,3,1,25000,,,25000,4283200
1990,Drought,12,,16804342,,,16804342,6601739
1990,Earthquake,43,42853,2298174,113416,185006,2596596,9197450
1990,Epidemic,18,2207,39065,,,39065,
1990,"Extreme temperature ",13,979,1000000,,,1000000,89250
1990,Flood,60,2251,46296043,8313,349875,46654231,4440448
1990,"Industrial accident",27,905,7540,1113,,8653,404400
1990,Landslide,4,98,,,,,
1990,"Mass movement (dry)",3,116,5000,115,,5115,
1990,"Miscellaneous accident",30,2310,28179,1663,,29842,24615
1990,Storm,137,4623,15911268,2613,1355217,17269098,26597935
1990,"Transport accident",133,5399,466,1568,,2034,
1990,"Volcanic activity",2,33,14265,,,14265,8000
1990,Wildfire,4,,,,,,1695000
1991,Drought,18,2000,30152000,,,30152000,3159000
1991,Earthquake,29,2454,721445,6260,250110,977815,1921500
1991,Epidemic,43,30682,2109332,79775,,2189107,
1991,"Extreme temperature ",8,835,450,,,450,772000
1991,Flood,77,5852,222233148,32427,5533814,227799389,12517638
1991,"Industrial accident",52,1700,68144,2781,8000,78925,253100
1991,"Insect infestation",1,,2000,,,2000,
1991,Landslide,9,728,65117,140,23271,88528,6400
1991,"Mass movement (dry)",3,86,,,,,
1991,"Miscellaneous accident",31,1130,333,818,54400,55551,150260
1991,Storm,66,146297,22117245,151142,1035480,23303867,17536723
1991,"Transport accident",150,6582,655,3044,,3699,
1991,"Volcanic activity",10,683,1184549,215,8400,1193164,237000
1991,Wildfire,8,90,,8,300,308,2593200
1992,"Complex Disasters",2,,3550000,,,3550000,
1992,Drought,12,,28531500,,,28531500,2991800
1992,Earthquake,25,4033,493137,17371,257808,768316,2664150
1992,Epidemic,28,6675,690687,40249,,730936,
1992,"Extreme temperature ",7,388,,,16000,16000,3028000
1992,Flood,59,5315,15350164,252120,3995510,19597794,7862663
1992,"Industrial accident",25,1385,150,2876,15000,18026,290737
1992,"Insect infestation",1,,,,,,
1992,Landslide,7,712,37000,160,38700,75860,429500
1992,"Mass movement (dry)",5,323,2750,69,400,3219,2600
1992,"Miscellaneous accident",13,321,2000,842,,2842,27600
1992,Storm,76,1342,18082165,21261,383391,18486817,37598250
1992,"Transport accident",110,5747,50000,1619,,51619,
1992,"Volcanic activity",5,1,346578,75,,346653,
1992,Wildfire,8,122,1650,,50540,52190,421200
1993,Drought,9,,3531507,,,3531507,2000
1993,Earthquake,20,10088,145683,31609,47980,225272,1770500
1993,Epidemic,4,651,462088,,,462088,
1993,"Extreme temperature ",4,106,3000200,560,,3000760,
1993,Flood,84,6150,148875018,1570,374335,149250923,32867943
1993,"Industrial accident",36,1244,1600,6185,,7785,73004
1993,"Insect infestation",3,,,,,,
1993,Landslide,22,1418,93143,241,62307,155691,968490
1993,"Mass movement (dry)",5,341,2550,36,125,2711,
1993,"Miscellaneous accident",25,1098,41073,1464,1757,44294,58000
1993,Storm,108,2965,14375651,11536,671584,15058771,14383468
1993,"Transport accident",112,7144,,2442,,2442,
1993,"Volcanic activity",6,99,116732,27,57000,173759,488
1993,Wildfire,2,3,,130,,130,1000000
1994,Drought,13,,95015000,,,95015000,13995200
1994,Earthquake,25,1242,717725,12988,61232,791945,30422676
1994,Epidemic,10,2505,6576697,,,6576697,
1994,"Extreme temperature ",9,341,1108000,184,,1108184,475000
1994,Flood,88,6771,122546263,22785,7214123,129783171,20502806
1994,"Industrial accident",34,779,14605,1423,3300,19328,45000
1994,Landslide,11,307,270987,66,37996,309049,62300
1994,"Miscellaneous accident",31,1734,1950,1082,8586,11618,37200
1994,Storm,81,4239,35089985,11109,1940047,37041141,5413592
1994,"Transport accident",128,6786,211,3363,,3574,
1994,"Volcanic activity",6,101,186400,24,46000,232424,110000
1994,Wildfire,13,84,3066200,183,1030,3067413,152000
1995,"Complex Disasters",1,610000,8000000,,,8000000,
1995,Drought,6,,10871994,,,10871994,112800
1995,Earthquake,26,7739,1526697,38722,375136,1940555,101285800
1995,Epidemic,25,4428,453392,,,453392,
1995,"Extreme temperature ",13,1730,535000,278,,535278,834300
1995,Flood,94,7956,190647666,71074,2722507,193441247,27555794
1995,"Industrial accident",45,513,26100,969,,27069,623200
1995,"Insect infestation",4,,200,,,200,104000
1995,Landslide,16,1521,15578,422,1118395,1134395,36289
1995,"Miscellaneous accident",27,1541,9873,1991,7254,19118,365100
1995,Storm,81,3763,12698104,7679,1619837,14325620,25006834
1995,"Transport accident",107,5289,,3185,,3185,172500
1995,"Volcanic activity",5,,18370,6,7500,25876,722
1995,Wildfire,7,29,8785,54,3000,11839,134500
1996,Drought,6,,3342000,,,3342000,1742400
1996,Earthquake,13,576,3581480,18686,1890015,5490181,572400
1996,Epidemic,45,16887,697103,,,697103,
1996,"Extreme temperature ",5,300,,200,,200,
1996,Flood,92,8047,177417900,252827,5006286,182677013,28497000
1996,"Industrial accident",35,674,3533,11853,1,15387,1204900
1996,Landslide,24,1155,8175,401,360,8936,20000
1996,"Miscellaneous accident",39,1298,12860,1605,3536,18001,338900
1996,Storm,77,4581,27635575,42671,100860,27779106,10757643
1996,"Transport accident",136,7431,78,2634,,2712,166100
1996,"Volcanic activity",5,4,6543,29,,6572,16500
1996,Wildfire,5,45,5500,111,600,6211,1721300
1997,Drought,18,732,8573300,,,8573300,1515100
1997,Earthquake,23,3159,938005,10453,348545,1297003,4958343
1997,Epidemic,62,10674,381794,,,381794,
1997,"Extreme temperature ",13,604,712180,,,712180,33000
1997,Flood,95,7685,43543761,29090,1079851,44652702,17883933
1997,"Industrial accident",35,1055,108200,5156,,113356,19200
1997,"Insect infestation",1,,,,,,3500
1997,Landslide,13,801,31527,80,2344,33951,16300
1997,"Miscellaneous accident",30,1277,7200,2539,10000,19739,25500
1997,Storm,79,6150,12760313,17532,1905545,14683390,7534570
1997,"Transport accident",136,5660,,3078,,3078,800
1997,"Volcanic activity",4,53,7000,,200,7200,8000
1997,Wildfire,16,266,53150,79,,53229,8309200
1998,"Complex Disasters",2,,3500000,,,3500000,
1998,Drought,20,20,14054335,,,14054335,513200
1998,Earthquake,30,9573,3414234,20219,243410,3677863,1220100
1998,Epidemic,73,12931,921040,,,921040,
1998,"Extreme temperature ",12,3269,36000,386,,36386,4275000
1998,Flood,94,10653,275535620,123961,18003104,293662685,43929151
1998,"Industrial accident",43,1942,60000,1985,900,62885,128641
1998,"Insect infestation",1,,,,,,1700
1998,Landslide,22,1141,206693,281,5839,212813,918700
1998,"Miscellaneous accident",29,747,20452,1361,28600,50413,18700
1998,Storm,88,24935,19829076,21193,11171165,31021434,30658681
1998,"Transport accident",148,5900,550,3095,,3645,10300
1998,"Volcanic activity",4,,7808,,,7808,
1998,Wildfire,18,150,165132,124,1348,166604,2616208
1999,Drought,23,361,99037545,,,99037545,9347000
1999,Earthquake,33,21869,5366491,71604,1418748,6856843,41712293
1999,Epidemic,77,6293,1123632,,,1123632,
1999,"Extreme temperature ",8,771,725000,246,,725246,1000000
1999,Flood,122,34807,145207074,29767,3849227,149086068,15612227
1999,"Industrial accident",37,740,2475,1273,320000,323748,3012
1999,Landslide,18,445,10400,31,4860,15291,749100
1999,"Miscellaneous accident",52,1323,2500,2324,7310,12134,2200
1999,Storm,106,12270,23791700,12447,1297706,25101853,43336598
1999,"Transport accident",214,6640,,5299,,5299,
1999,"Volcanic activity",5,,30845,,2710,33555,
1999,Wildfire,22,70,7800,5,11025,18830,490636
2000,Drought,27,80,81225415,,,81225415,3655165
2000,Earthquake,31,217,2094478,6852,377229,2478559,774903
2000,Epidemic,113,6980,1081748,100,,1081848,
2000,"Extreme temperature ",31,941,25977,1709,,27686,370159
2000,Flood,158,6025,73110359,1509,793068,73904936,25803502
2000,"Industrial accident",51,1807,14359,2683,100,17142,
2000,"Insect infestation",2,,,,,,120000
2000,Landslide,28,1012,66635,232,148290,215157,462000
2000,"Mass movement (dry)",1,11,,,,,
2000,"Miscellaneous accident",58,1341,2120,9123,12370,23613,261717
2000,Storm,101,1297,14686646,4350,445461,15136457,12949580
2000,"Transport accident",260,8235,2633,4586,,7219,
2000,"Volcanic activity",5,,126626,,,126626,2214
2000,Wildfire,30,47,36600,58,2377,39035,2558913
2001,Drought,22,99,32081154,,,32081154,36400
2001,Earthquake,25,21348,7288605,179663,2243015,9711283,7363050
2001,Epidemic,69,8515,238632,,,238632,
2001,"Extreme temperature ",23,1787,210850,2311,,213161,200110
2001,Flood,157,5014,34219047,4768,327831,34551646,4752612
2001,"Industrial accident",54,1281,15000,4095,250,19345,10000
2001,"Insect infestation",2,,,,,,
2001,Landslide,24,786,34975,117,35945,71037,70600
2001,"Miscellaneous accident",50,1341,7240,2460,21085,30785,5000
2001,Storm,107,1914,31392503,92028,506905,31991436,14546012
2001,"Transport accident",221,5926,286,2949,,3235,
2001,"Volcanic activity",6,,110491,,,110491,16655
2001,Wildfire,14,33,5729,10,,5739,90000
2002,"Complex Disasters",1,,3000,,,3000,
2002,Drought,25,588,377556935,,,377556935,7871475
2002,Earthquake,37,1639,786413,4756,58534,849703,2067714
2002,Epidemic,84,8762,1208027,,,1208027,
2002,"Extreme temperature ",15,3369,100200,3786,,103986,
2002,Flood,172,4236,167634876,38895,96952,167770723,26825511
2002,"Industrial accident",48,1112,1084,594,,1678,9960407
2002,Landslide,20,1100,267084,169,37482,304735,192500
2002,"Mass movement (dry)",1,60,,,,,
2002,"Miscellaneous accident",52,2013,30500,2814,27750,61064,62000
2002,Storm,123,1535,111111880,3997,46820,111162697,14749852
2002,"Transport accident",260,9326,202,5336,,5538,
2002,"Volcanic activity",7,200,167950,400,110000,278350,9000
2002,Wildfire,22,6,20322,715,5087,26124,362100
2003,Drought,14,9,67732075,,,67732075,691000
2003,Earthquake,40,29617,3505826,43327,645314,4194467,8252851
2003,Epidemic,60,3522,136542,,,136542,
2003,"Extreme temperature ",25,74698,1839888,200,,1840088,12520000
2003,Flood,158,3884,167547976,153150,1760451,169461577,20865648
2003,"Industrial accident",52,1444,644881,1401,,646282,
2003,Landslide,22,708,457687,450,513,458650,51961
2003,"Miscellaneous accident",45,1438,657,2185,12500,15342,
2003,Storm,86,1049,10589723,9889,493057,11092669,21367890
2003,"Transport accident",237,7868,1267,3746,,5013,
2003,"Volcanic activity",2,,25000,,,25000,
2003,Wildfire,15,47,182700,298,1335,184333,6095000
2004,Drought,11,80,17971500,,,17971500,2991275
2004,Earthquake,42,227290,1921278,48720,1177207,3147205,38770000
2004,Epidemic,36,3245,164053,100,,164153,
2004,"Extreme temperature ",16,255,339467,1800413,,2139880,
2004,Flood,129,6984,116518021,15877,457117,116991015,10383038
2004,"Industrial accident",81,1797,153558,2938,60,156556,900000
2004,"Insect infestation",12,,,,,,
2004,Landslide,15,313,12151,76,150,12377,3500
2004,"Mass movement (dry)",1,44,,13,340,353,
2004,"Miscellaneous accident",62,2115,31142,4042,67200,102384,
2004,Storm,123,6597,20423065,18838,940895,21382798,84067635
2004,"Transport accident",216,6417,33371,5257,9250,47878,408000
2004,"Volcanic activity",5,2,53043,105,,53148,
2004,Wildfire,8,14,18200,105,2214,20519,3000
2005,"Complex Disasters",1,,12500,,,12500,
2005,Drought,22,161,29550990,,,29550990,462120
2005,Earthquake,25,76241,888860,146904,5151700,6187464,6705100
2005,Epidemic,56,3909,433500,111,,433611,
2005,"Extreme temperature ",29,1088,1000,1246,,2246,400000
2005,Flood,193,5754,74324539,1921,700349,75026809,17939670
2005,"Industrial accident",76,2281,10758,1642,4000,16400,410000
2005,Landslide,13,664,9060,104,390,9554,55000
2005,"Miscellaneous accident",66,2669,526,8732,68235,77493,10182
2005,Storm,131,5252,48706859,6907,412268,49126034,184793461
2005,"Transport accident",229,6702,1490,4629,,6119,
2005,"Volcanic activity",8,3,341000,,,341000,
2005,Wildfire,13,45,5000,157,1750,6907,3847000
2006,Drought,9,134,23857000,,,23857000,3135573
2006,Earthquake,24,6692,2873412,140437,844990,3858839,3431453
2006,Epidemic,60,6402,294251,,,294251,
2006,"Extreme temperature ",24,4826,50000,11754,,61754,1000000
2006,Flood,226,5843,25668207,2199,4638942,30309348,7805942
2006,"Industrial accident",64,1870,123056,1742,36000,160798,
2006,"Insect infestation",1,,,,,,
2006,Landslide,20,1638,333780,76,98300,432156,40146
2006,"Mass movement (dry)",1,11,,5,,5,
2006,"Miscellaneous accident",33,1126,450,1715,32450,34615,976
2006,Storm,76,4329,66474501,14248,620483,67109232,17702835
2006,"Transport accident",205,7021,1433,2627,,4060,
2006,"Volcanic activity",12,5,378598,13,,378611,150000
2006,Wildfire,9,13,1436,218,408,2062,839000
2007,"Complex Disasters",1,,2000000,,,2000000,
2007,Drought,11,,5278144,,,5278144,706000
2007,Earthquake,21,780,1289448,6103,86833,1382384,14972000
2007,Epidemic,36,5484,474368,,,474368,
2007,"Extreme temperature ",25,1086,984924,3164,,988088,
2007,Flood,218,8607,177920195,6650,970247,178897092,24586067
2007,"Industrial accident",53,1669,2176,1226,,3402,869000
2007,Landslide,10,271,8992,10,,9002,
2007,"Miscellaneous accident",43,909,21350,1227,18722,41299,
2007,Storm,105,6035,23836033,57003,106209,23999245,29558736
2007,"Transport accident",181,5075,706,2847,,3553,
2007,"Volcanic activity",6,11,50948,15,,50963,
2007,Wildfire,18,148,1778393,182,6442,1785017,4597454
2008,"Complex Disasters",2,,838400,,,838400,
2008,Drought,16,8,34068000,,,34068000,234000
2008,Earthquake,23,87918,46792393,370939,416990,47580322,85796000
2008,Epidemic,42,6904,423144,103,,423247,
2008,"Extreme temperature ",9,1641,79170502,682,,79171184,21940000
2008,Flood,165,4007,42361991,973,2547797,44910761,19619144
2008,"Industrial accident",38,776,13771,445,,14216,
2008,Landslide,12,504,5000,149,,5149,
2008,"Mass movement (dry)",3,120,,72,625,697,
2008,"Miscellaneous accident",30,895,10092,1021,9496,20609,
2008,Storm,111,140985,15354941,23460,273373,15651774,60728103
2008,"Transport accident",192,5275,910,3037,,3947,
2008,"Volcanic activity",7,16,39951,7,,39958,
2008,Wildfire,5,86,55000,68,3600,58668,2532000
2009,Drought,18,,86295500,,,86295500,3628700
2009,Earthquake,22,1893,3085775,6352,128960,3221087,6032730
2009,Epidemic,44,4895,490432,1456,,491888,
2009,"Extreme temperature ",24,1370,829106,27061,,856167,1162000
2009,Flood,151,3627,59620060,2003,112870,59734933,8003878
2009,"Industrial accident",43,934,4913,690,,5603,1526400
2009,"Insect infestation",1,,500000,,,500000,
2009,Landslide,29,723,23923,88,20743,44754,299000
2009,"Mass movement (dry)",1,36,2037,,991,3028,
2009,"Miscellaneous accident",27,911,21516,1329,200,23045,
2009,Storm,87,3287,50326452,10454,245872,50582778,26134655
2009,"Transport accident",160,5021,2272,2248,100,4620,
2009,"Volcanic activity",2,,47537,,,47537,
2009,Wildfire,9,190,10169,529,876,11574,1515000
2010,Drought,16,20000,49372978,,,49372978,3884700
2010,Earthquake,24,226733,5700795,323981,912204,6936980,47300660
2010,Epidemic,41,5235,490034,401531,,891565,
2010,"Extreme temperature ",29,57188,72750,11,,72761,400000
2010,Flood,184,8454,188636195,10383,670720,189317298,49137575
2010,"Industrial accident",36,1061,18495,913,7120,26528,20103000
2010,"Insect infestation",1,,2300000,,,2300000,
2010,Landslide,32,3427,2400023,687,59195,2459905,1277078
2010,"Miscellaneous accident",47,1507,324,2098,4411,6833,250000
2010,Storm,95,1564,8150715,2692,777608,8931015,28124083
2010,"Transport accident",152,4177,644,2610,,3254,
2010,"Volcanic activity",6,323,170206,455,,170661,
2010,Wildfire,7,166,25200,1021,4270,30491,2070000
2011,Drought,17,,30400194,,,30400194,8142000
2011,Earthquake,30,20946,1531665,13203,202752,1747620,230299850
2011,Epidemic,27,3174,1156317,420,,1156737,
2011,"Extreme temperature ",16,435,4114033,22472,233000,4369505,781123
2011,Flood,156,6163,135236092,2345,1209286,136447723,70757047
2011,"Industrial accident",32,727,29,500,66,595,
2011,Landslide,17,309,5195,58,2000,7253,
2011,"Miscellaneous accident",34,755,7767,1163,39414,48344,701
2011,Storm,84,3103,38266824,12306,297752,38576882,50872148
2011,"Transport accident",178,5144,2360,3981,,6341,2000
2011,"Volcanic activity",6,3,42799,5,6000,48804,104000
2011,Wildfire,8,10,520,5,14182,14707,3137000
2012,"Complex Disasters",2,,1482214,,,1482214,
2012,Drought,19,,23551085,,,23551085,25480000
2012,Earthquake,29,711,2789479,41777,29002,2860258,18536314
2012,Epidemic,25,1887,156302,149,,156451,
2012,"Extreme temperature ",51,1834,605568,5657,,611225,152801
2012,Flood,135,3530,63730563,8889,172538,63911990,25609173
2012,"Industrial accident",25,787,47,3663,,3710,30000
2012,Landslide,13,501,122,226,3368,3716,
2012,"Mass movement (dry)",1,16,,,,,
2012,"Miscellaneous accident",26,1112,12605,3978,800,17383,1000
2012,Storm,90,3105,19564571,6771,694147,20265489,85732579
2012,"Transport accident",137,4153,852,2449,,3301,
2012,"Volcanic activity",1,,10000,,,10000,
2012,Wildfire,6,21,3684,422,1290,5396,1000000
2013,Drought,9,,7955904,,,7955904,1087000
2013,Earthquake,28,1120,6995264,21558,14340,7031162,9074859
2013,Epidemic,23,529,308821,2509,,311330,
2013,"Extreme temperature ",14,1821,129444,55325,5247,190016,1000000
2013,Flood,149,9836,31822222,6667,246991,32075880,54782566
2013,Impact,1,,300000,1491,,301491,33000
2013,"Industrial accident",24,1893,6340,2000,30,8370,200000
2013,Landslide,11,235,1000,34,,1034,
2013,"Mass movement (dry)",1,46,,2,,2,8000
2013,"Miscellaneous accident",31,1003,,605,6759,7364,5000
2013,Storm,105,8603,48756442,36808,54882,48848132,52388364
2013,"Transport accident",136,3804,3676,2417,,6093,373000
2013,"Volcanic activity",3,,93846,,,93846,
2013,Wildfire,10,35,1551,17,7263,8831,1072400
2014,"Animal accident",1,12,5,,,5,
2014,Drought,18,,69838427,,,69838427,11005000
2014,Earthquake,26,773,3182556,5827,23929,3212312,7174000
2014,Epidemic,20,12814,179732,37168,,216900,
2014,"Extreme temperature ",18,1173,1209198,18500,,1227698,2518000
2014,Flood,135,3532,39806306,4933,1257973,41069212,36240242
2014,"Industrial accident",28,891,283744,633,,284377,
2014,Landslide,16,958,10793,89,7865,18747,273000
2014,"Miscellaneous accident",32,646,10,1787,7200,8997,
2014,Storm,102,1427,25708052,8049,76621,25792722,40914072
2014,"Transport accident",145,4852,1139,1813,,2952,
2014,"Volcanic activity",6,102,179513,141,,179654,186000
2014,Wildfire,5,17,10929,500,258,11687,409000
2015,Drought,25,35,43581652,,,43581652,6778747
2015,Earthquake,19,9525,6914196,78602,173835,7166633,4877850
2015,Epidemic,13,631,26852,25497,,52349,
2015,"Extreme temperature ",10,7423,1245620,66,,1245686,
2015,Flood,148,3200,25917251,2433,224061,26143745,24320100
2015,"Industrial accident",23,667,12066,779,,12845,
2015,Landslide,20,1361,41498,114,8720,50332,
2015,"Mass movement (dry)",2,126,,,,,
2015,"Miscellaneous accident",30,3166,50000,2851,4500,57351,
2015,Storm,90,996,10363512,6589,222178,10592279,24911767
2015,"Transport accident",129,4800,1960,2681,,4641,
2015,"Volcanic activity",7,,956092,,,956092,600000
2015,Wildfire,12,66,485717,1076,7920,494713,3636820
